skill,role,level,skill_type
python,data engineer,2,T
python,data engineer,3,T
python,data engineer,4,T
python,data engineer,5,T
scala,data engineer,3,T
scala,data engineer,4,T
scala,data engineer,5,T
java,data engineer,2,T
java,data engineer,3,T
java,data engineer,4,T
java,data engineer,5,T
closure,data engineer,3,T
closure,data engineer,4,T
closure,data engineer,5,T
go,data engineer,3,T
go,data engineer,4,T
go,data engineer,5,T
bigquery,data engineer,3,T
bigquery,data engineer,4,T
bigquery,data engineer,5,T
big query,data engineer,3,T
big query,data engineer,4,T
big query,data engineer,5,T
gcp,data engineer,3,R
gcp,data engineer,4,R
gcp,data engineer,5,R
pub/sub,data engineer,3,T
pub/sub,data engineer,4,T
pub/sub,data engineer,5,T
pubsub,data engineer,3,T
pubsub,data engineer,4,T
pubsub,data engineer,5,T
pub-sub,data engineer,3,T
pub-sub,data engineer,4,T
pub-sub,data engineer,5,T
pub sub,data engineer,3,T
pub sub,data engineer,4,T
pub sub,data engineer,5,T
dataflow,data engineer,3,T
dataflow,data engineer,4,T
dataflow,data engineer,5,T
beam,data engineer,3,T
beam,data engineer,4,T
beam,data engineer,5,T
apache beam,data engineer,3,T
apache beam,data engineer,4,T
apache beam,data engineer,5,T
dataproc,data engineer,3,T
dataproc,data engineer,4,T
dataproc,data engineer,5,T
dataprep,data engineer,3,T
dataprep,data engineer,4,T
dataprep,data engineer,5,T
cloud functions,data engineer,3,T
cloud functions,data engineer,4,T
cloud functions,data engineer,5,T
cloud spanner,data engineer,3,T
cloud spanner,data engineer,4,T
cloud spanner,data engineer,5,T
cloud sql,data engineer,3,T
cloud sql,data engineer,4,T
cloud sql,data engineer,5,T
google cloud platform,data engineer,3,R
google cloud platform,data engineer,4,R
google cloud platform,data engineer,5,R
azure,data engineer,3,R
azure,data engineer,4,R
azure,data engineer,5,R
microsoft azure,data engineer,3,R
microsoft azure,data engineer,4,R
microsoft azure,data engineer,5,R
sql server,data engineer,3,T
sql server,data engineer,4,T
sql server,data engineer,5,T
sqlserver,data engineer,3,T
sqlserver,data engineer,4,T
sqlserver,data engineer,5,T
oracle,data engineer,3,T
oracle,data engineer,4,T
oracle,data engineer,5,T
pl/sql,data engineer,3,T
pl/sql,data engineer,4,T
pl/sql,data engineer,5,T
postgres,data engineer,3,T
postgres,data engineer,4,T
postgres,data engineer,5,T
postgresql,data engineer,3,T
postgresql,data engineer,4,T
postgresql,data engineer,5,T
mysql,data engineer,3,T
mysql,data engineer,4,T
mysql,data engineer,5,T
redshift,data engineer,3,T
redshift,data engineer,4,T
redshift,data engineer,5,T
aws,data engineer,3,R
aws,data engineer,4,R
aws,data engineer,5,R
aws lambda,data engineer,3,T
aws lambda,data engineer,4,T
aws lambda,data engineer,5,T
lambda functions,data engineer,3,T
lambda functions,data engineer,4,T
lambda functions,data engineer,5,T
aws stepfunctions,data engineer,3,T
aws stepfunctions,data engineer,4,T
aws stepfunctions,data engineer,5,T
stepfunctions,data engineer,3,T
stepfunctions,data engineer,4,T
stepfunctions,data engineer,5,T
aws pipelines,data engineer,3,T
aws pipelines,data engineer,4,T
aws pipelines,data engineer,5,T
aws glue,data engineer,3,T
aws glue,data engineer,4,T
aws glue,data engineer,5,T
